,reviews,stars,date,country,verified,corpus
201,✅ Trip Verified |  British Airways is the most terrible airline I’ve ever dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. I have no choice but to cancel our chance of a life time trip we’d booked with our 2 18 year old boys as they were flying with another airline and would have been alone in Japan as BA just cancelled our trip and we cannot rebook online as the trip was booked with avios and companion vouchers.,9,2022-04-06,United Kingdom,True,british airway terrible airline ever dealt caused family extreme stress disappointment tried week speak someone make change online hang every time call driven despair treatment customer choice cancel chance life time trip booked year old boy flying another airline would alone japan ba cancelled trip cannot rebook online trip booked avios companion voucher
202,"Not Verified |  BA is getting a real bashing on this forum and I thought I'd buck the trend and report a virtually flawless experience of a short hop from EDI to LCY on BA8703 this Monday. Easy check in, decent lounge experience except the very amiable staff were still forced to serve from behind barriers, very clean plane which left on time, ridiculous amount of legroom in 2D (it is a bulkhead seat but with lots more space than 1A or C), reasonable cooked breakfast served by a very attentive and capable CSM and arrived 15 mins earlier than scheduled. What's not to like, which is my overall experience with the vast majority of my BA experiences over the last 25 years. Anyway I thought it would be nice to read a positive review for once.",5,2022-04-06,United Kingdom,False,verified ba getting real bashing forum thought buck trend report virtually flawless experience short hop edi lcy ba monday easy check decent lounge experience except amiable staff still forced serve behind barrier clean plane left time ridiculous amount legroom bulkhead seat lot space c reasonable cooked breakfast served attentive capable csm arrived min earlier scheduled like overall experience vast majority ba experience last year anyway thought would nice read positive review
203,"Not Verified |  New Club Suites are amazing, the only let down is the bed is a little too firm but the pillow was the most comfortable pillow I have ever used. Food was ok as I have had better on BA in the past and I can understand why they put everything on a single tray which is OK. The cabin crew were brilliant but I was surprised that after dinner the crew didn’t once come round with beverages or even bottled water. BA really have a great hard product here and I would suspect the soft product will improve once Covid restrictions become less of an issue. Well done BA.",1,2022-04-06,United Kingdom,False,verified new club suite amazing let bed little firm pillow comfortable pillow ever used food ok better ba past understand put everything single tray ok cabin crew brilliant surprised dinner crew come round beverage even bottled water ba really great hard product would suspect soft product improve covid restriction become le issue well done ba
204,✅ Trip Verified | Very small plane for a busy route. Service was good but food not so. Ran out of a lot and options left were not good. Cabin crew for BA actually really friendly.,2,2022-04-04,United Kingdom,True,small plane busy route service good food ran lot option left good cabin crew ba actually really friendly
205,"✅ Trip Verified |  BA continue to charge a premium for the most disgusting service, provided by people who shouldn't be in customer service, on tired, dirty and cramped aircraft. Out of 11 flights this year, not one has managed to depart or arrive at their destinations on-time. Including having 3 business class tickets cancelled and an alternative in economy being offered, still no refunds 3 months on and had a flight late and missed connection, so BA cancelled the rest of my ticket, leaving me stranded in the US. ",9,2022-04-04,United Kingdom,True,ba continue charge premium disgusting service provided people customer service tired dirty cramped aircraft flight year one managed depart arrive destination time including business class ticket cancelled alternative economy offered still refund month flight late missed connection ba cancelled rest ticket leaving stranded u
206,"✅ Trip Verified |  Flew back on BA0254 Bridgetown to Heathrow in the old Club Class. A huge disappointment after going out in the new Club Class suites - the end of this awful yin and yang seating can't come soon enough. Even tried to pay BA's extortionate pre-booking rate for our seats - none left to choose even weeks ahead. My wife and I were stuck in the middle 2 seats of 4 - 13E and F. Good job it was an overnighter so we managed to sleep a bit and not have to climb over our neighbours very often. The March film selection so not good. Not particularly friendly FA who insisted face masks must be worn even though BA's policy has changed regarding flying back to a non-mask wearing destination (ie. London). Sort it out BA. Took off 20 minutes late but big tailwind so more than made up the time on a relatively smooth flight. Dinner not to bad but breakfast - fairly dire. My wife's smoked salmon bagel was dreadful. As usual when BA is good, it's really good but when it's bad it's awful. I recommend hesitatingly - come on BA, be great again. We pay a lot for ""premium"" seats.",8,2022-04-04,United Kingdom,True,flew back ba bridgetown heathrow old club class huge disappointment going new club class suite end awful yin yang seating come soon enough even tried pay ba extortionate pre booking rate seat none left choose even week ahead wife stuck middle seat e f good job overnighter managed sleep bit climb neighbour often march film selection good particularly friendly fa insisted face mask must worn even though ba policy changed regarding flying back non mask wearing destination ie london sort ba took minute late big tailwind made time relatively smooth flight dinner bad breakfast fairly dire wife smoked salmon bagel dreadful usual ba good really good bad awful recommend hesitatingly come ba great pay lot premium seat
207,"Not Verified |  The worst budget airline I’ve ever used! Far worse than Ryanair and I refuse to fly with them even though they’re basically free. BA charge about 10x as much as other budgets but have the worst service. Spent an hour checking in because their outdated computers crashed. They left us sat on the plane for over 2 hours because they couldn’t connect to the internet, then left 50% of our luggage behind because they would have had to refund everyone’s flights if they waited another 10 mins for the other luggage trolleys to arrive. It took three days to return it and cost us £100s. Then on return I’ve now been sat here nearly two hours and there’s no sign of our luggage again. I don’t know how a company can be this incompetent but I’ll be pursuing for compensation. I have some free flights from Amex but I won’t be using them because it’s not worth going through this again.",7,2022-04-04,United Kingdom,False,verified worst budget airline ever used far worse ryanair refuse fly even though basically free ba charge x much budget worst service spent hour checking outdated computer crashed left u sat plane hour connect internet left luggage behind would refund everyone flight waited another min luggage trolley arrive took three day return cost u return sat nearly two hour sign luggage know company incompetent pursuing compensation free flight amex using worth going
208,"✅ Trip Verified | First, the actual flights are fine and the staff on all 3 flights (ZRH-LHR, GVA-LHR & LHR-ZRH), first 2 in Economy, are absolutely fine, chatty and friendly, they are a credit to the company. The infrastructure however is appalling. ZRH-LHR impossible to check-in online and just 2 staff to check-in everyone for 2 flights resulting in mislabelled luggage and an hour delay to sort this out. GVA-LHR, 2.5hrs late as no-one at LHR to tow the aircraft to the gate. LHR-ZRH, 50mins late due to slow gate staff. Even when you check-in online you have to queue at the airport to get the actual boarding pass! There are more examples, and for this reason, until they sort out their stressed ground staff, it is impossible to recommend this airline. Onboard 10/10, getting to be onboard 1/10.",1,2022-04-03,Switzerland,True,first actual flight fine staff flight zrh lhr gva lhr lhr zrh first economy absolutely fine chatty friendly credit company infrastructure however appalling zrh lhr impossible check online staff check everyone flight resulting mislabelled luggage hour delay sort gva lhr hr late one lhr tow aircraft gate lhr zrh min late due slow gate staff even check online queue airport get actual boarding pas example reason sort stressed ground staff impossible recommend airline onboard getting onboard
209,"✅ Trip Verified |  Have not flown economy with BA for years, what a shock! Hard uncomfortable seats, small aged tv screens with limited inflight entertainment. Food and service appalling. 13hr plus flight, no socks, eye shades, ear plug amenity pack. And no antibacterial wipes offered. Wi-Fi advertised but not available on flight. Paid premium money for a budget airline, more akin to Easy Jet, RyanAir or JetStar. My last time travelling with BA after more than 18 years of flying with them. BA you really do need to buck up your service and become the flagship Service you used to be.",5,2022-04-03,Australia,True,flown economy ba year shock hard uncomfortable seat small aged tv screen limited inflight entertainment food service appalling hr plus flight sock eye shade ear plug amenity pack antibacterial wipe offered wi fi advertised available flight paid premium money budget airline akin easy jet ryanair jetstar last time travelling ba year flying ba really need buck service become flagship service used
210,"✅ Trip Verified |  Flew to Barbados 16 March on BA 255 in the new Club Class suite. A huge improvement on the old yin and yang Club Class which we unfortunately endured on the way back. Comfortable, big TV screen with high quality picture and good headphones, plenty of nooks and crannies for storing small items and very private. Nice friendly FA's (called by my name from the off) and pretty good drinks service with a good dinner served. Once again let down by a poor (at best) choice of movies on the in-flight entertainment system. Thank goodness the latest James Bond movie was showing. Took off and landed on time. Smooth flight. Only one letdown - the usual extortionate fee charged for pre-booking a seat. Come on BA, stop nickel and diming - it spoils what could be a really good Business Class product and after all we already pay quite a bit for the privilege. I recommend with the usual caveats.",1,2022-04-02,United Kingdom,True,flew barbados march ba new club class suite huge improvement old yin yang club class unfortunately endured way back comfortable big tv screen high quality picture good headphone plenty nook cranny storing small item private nice friendly fa called name pretty good drink service good dinner served let poor best choice movie flight entertainment system thank goodness latest james bond movie showing took landed time smooth flight one letdown usual extortionate fee charged pre booking seat come ba stop nickel diming spoil could really good business class product already pay quite bit privilege recommend usual caveat
211,"Not Verified |  Very poor flight from Cape Town to London. After the chaos of Cape Town Airport passenger handling with incredibly long queues to get through security and then passport control taking nearly two hours in total we arrived at the lounge somewhat frazzled and were very happy to find a quiet area with decent wine and appropriate food choices for a break before boarding the flight. Boarding went well and we were seated and offered a small half full glass of champagne. The captain made an announcement to say that we were all aboard ahead of schedule and that the flight time would be shorter than scheduled but unfortunately this would mean our arrival would be too early to land due to the 6.00 am lifting of the overnight jet ban at Heathrow so we would have to wait on the ground for perhaps half an hour or so. This was no big deal. Then the captain announced that due to IT issues at Heathrow they could get not compile necessary paperwork so we would be delayed for an indefinite period. With the delay of uncertain duration one might have hoped for a further offering of champagne or other beverage in particularly for Business Class but this was not forthcoming. In the event take off was permitted quite soon after. The crew had distributed menus but then did a PA to say that there were changes to each of the main courses. A drinks order was taken for pre dinner drinks, for main course for dinner and choice of wine with dinner. Drinks and nuts were served circa 45 minutes after take off, in my case a small measure of white wine in the bottom of a pleasant and decent sized tumbler and my husband had another half glass of champagne. Dinner arrived on a single tray with a small measure of red wine in the tumbler. The food looked bland, unappetising and tasted the more so. The cheese (two small pieces) were sitting in a greasy pool of vinegary chutney. No top up of the wine was offered (we did ask for a second glass and it was provided on a very individualised basis) and coffee was not served since we had hit some mild turbulence. The flight was some 11 hours in duration and no other snacks or beverages were offered prior to breakfast which was provided separately to each passenger as they showed signs of being awake. Breakfast was slightly more edible than dinner. Coffee or tea were offered by individual mug, orange juice was available on request. Cabin crew were largely absent from the cabin except during the meal services but it must be said that they were extremely pleasant and were suitably responsive to requests for individual items. Come on British Airways you can and need to do better than this if you are to meet customer expectations and compete with other airlines on similar routes. For the cost of a business class ticket passengers are enjoying only additional space and seat comfort (flatbed) as a benefit over an economy ticket at or below 25% of the price paid for the premium cabin. Time was when flying in Business Class was real treat, no longer is this the case.",5,2022-04-02,United Kingdom,False,verified poor flight cape town london chaos cape town airport passenger handling incredibly long queue get security passport control taking nearly two hour total arrived lounge somewhat frazzled happy find quiet area decent wine appropriate food choice break boarding flight boarding went well seated offered small half full glass champagne captain made announcement say aboard ahead schedule flight time would shorter scheduled unfortunately would mean arrival would early land due lifting overnight jet ban heathrow would wait ground perhaps half hour big deal captain announced due issue heathrow could get compile necessary paperwork would delayed indefinite period delay uncertain duration one might hoped offering champagne beverage particularly business class forthcoming event take permitted quite soon crew distributed menu pa say change main course drink order taken pre dinner drink main course dinner choice wine dinner drink nut served circa minute take case small measure white wine bottom pleasant decent sized tumbler husband another half glass champagne dinner arrived single tray small measure red wine tumbler food looked bland unappetising tasted cheese two small piece sitting greasy pool vinegary chutney top wine offered ask second glass provided individualised basis coffee served since hit mild turbulence flight hour duration snack beverage offered prior breakfast provided separately passenger showed sign awake breakfast slightly edible dinner coffee tea offered individual mug orange juice available request cabin crew largely absent cabin except meal service must said extremely pleasant suitably responsive request individual item come british airway need better meet customer expectation compete airline similar route cost business class ticket passenger enjoying additional space seat comfort flatbed benefit economy ticket price paid premium cabin time flying business class real treat longer case
212,"Not Verified |  Our main complaint is that the limited food served was bland, barely edible, and by far the worst we’ve ever experienced compared to other airlines used in the past. The staff were friendly enough but they were rarely seen between meals. No snacks were offered during the flight. This is so different to every other airline we have used in the past. After 14 hours of flying the breakfast offered was a tiny, cold, stale, Ham and cheese roll and a small plain yoghurt with a couple of Oreos. If ever you decide to fly with them I suggest that you bring your own food. We certainly will on our return flight but will never use British Airways again.",2,2022-03-31,United Kingdom,False,verified main complaint limited food served bland barely edible far worst ever experienced compared airline used past staff friendly enough rarely seen meal snack offered flight different every airline used past hour flying breakfast offered tiny cold stale ham cheese roll small plain yoghurt couple oreo ever decide fly suggest bring food certainly return flight never use british airway
213,"✅ Trip Verified |  Complete and utter chaos at Heathrow, yet again. Surely the CEO, Sean Doyle, must now take responsibility and step aside for the consistent and continuous IT problems that cause flights to be cancelled and delayed. The queue for the First Wing check in at 10am today was over 1 hour, and subsequent flight to Malaga 1.5 hrs late leaving the gate. Updated about the delays 3 times, but strangely not one person apologised or said sorry - BA seems to think this is normal practice nowadays. As Emerald OneWorld, I wish there was an alternative because BA has become intolerable, and this is after flying them for 55 years since BEA/BOAC days.",9,2022-03-31,United Kingdom,True,complete utter chaos heathrow yet surely ceo sean doyle must take responsibility step aside consistent continuous problem cause flight cancelled delayed queue first wing check today hour subsequent flight malaga hr late leaving gate updated delay time strangely one person apologised said sorry ba seems think normal practice nowadays emerald oneworld wish alternative ba become intolerable flying year since bea boac day
214,"Not Verified |  Feb 25, 2022. We show up at the airport 3 hours early for our flight to Dublin. we waited in line for 3+ hours to just check in our luggage. After that, we learn our flight is delayed another 3+ hours. We had a connecting flight in London. When trying to go through customs they wouldn't let us through because the boarding of the plane was going to be happening in 30 minutes. They told us to wait in a customer service line that was well over an hour. We then found out we could have gone through customs because the connecting flight from London to Dublin was delayed over an hour. However, by the time we were told this information, the doors were about to close. The next available flight to Dublin was 2/27 late evening. With that being said we were forced to stay the night in London. After talking to a British Airways manager, they informed us that BA would reimburse us for any hotel, flight (to get to Dublin regardless of the airline), clothes (due to them losing our bags), excursions and transportation. Due to this issue, we had to spend multiple days shopping for clothes, lost out on days we had booked to explore the country, had to now buy an extra suitcase for the new clothes we received (went 4 days with lost bags). When we finally got home, we submitted our claims like we were told to do. Within a few days, it's declined. We have asked for a contact # just to talk to somebody, again declined. We tried to reach out via social media and we get passive-aggressive messages.  They refuse to pay me back for the new flight to get to Dublin, transportation to and from the airport in London, the hotel for London, the clothes I had to buy because they lost my bags for 4 days, and the extra luggage fee because of the extra clothes I had to buy. There is no customer support and they are impossible to get a direct response from.",4,2022-03-30,United States,False,verified feb show airport hour early flight dublin waited line hour check luggage learn flight delayed another hour connecting flight london trying go custom let u boarding plane going happening minute told u wait customer service line well hour found could gone custom connecting flight london dublin delayed hour however time told information door close next available flight dublin late evening said forced stay night london talking british airway manager informed u ba would reimburse u hotel flight get dublin regardless airline clothes due losing bag excursion transportation due issue spend multiple day shopping clothes lost day booked explore country buy extra suitcase new clothes received went day lost bag finally got home submitted claim like told within day declined asked contact talk somebody declined tried reach via social medium get passive aggressive message refuse pay back new flight get dublin transportation airport london hotel london clothes buy lost bag day extra luggage fee extra clothes buy customer support impossible get direct response
215,"✅ Trip Verified |  British Airways are in the process of upgrading all its 777 fleet to the new Club Suite, but BA59 had the 16-yrs-old, packed-like-sardines Club World product. The lounge at CPT was also bursting at the seams and food orders were so behind that many passengers had left by the time their food arrived. On boarding, we were surprised to find that the menu, amenity kit and bottle of water had already been placed in the storage drawer. We suspect this is another cynical time-saving initiative on the part of BA. Frustratingly, the menu turned out to be incorrect and the replacement dishes were probably the worst we have ever encountered in any business class on any airline. The drinks run was cancelled without any warning on the spurious basis of a passenger with a nut allergy. It's hard to avoid suspicions that cabin crew were being economical with the truth. Apart from a rather turbulent ride, the flight was otherwise uneventful and arrival was slightly ahead of schedule. Baggage handling was, however, atrociously slow.",2,2022-03-29,United Kingdom,True,british airway process upgrading fleet new club suite ba yr old packed like sardine club world product lounge cpt also bursting seam food order behind many passenger left time food arrived boarding surprised find menu amenity kit bottle water already placed storage drawer suspect another cynical time saving initiative part ba frustratingly menu turned incorrect replacement dish probably worst ever encountered business class airline drink run cancelled without warning spurious basis passenger nut allergy hard avoid suspicion cabin crew economical truth apart rather turbulent ride flight otherwise uneventful arrival slightly ahead schedule baggage handling however atrociously slow
216,"✅ Trip Verified |  We flew to Funchal, Madeira yesterday. Madeira has no COVID restrictions for entry, yet BA asked us to upload our NHS vaccination passes, before we could check in online. I received an OK about an hour later, but my husband did not, so I couldn’t check in online. We arrive at Heathrow 2 hours before departure and stood in a long queue for check in. There were just 3 desks open for a queue of approx 100 travellers. Then several people went on breaks or disappeared so we were down to one desk open, with the queue barely moving. I went to complain to various BA staff, who said the manager had been told and more people were coming. One blonde lady walked around for ages, shepherding travellers into the queue, before sitting down at a desk. Another man later did likewise, making us wonder why they hadn’t simply worked at the desks from the beginning. All in all we stood in that queue for a good hour, before almost running to the security queue, which thankfully moved quickly. Then we hurriedly bought a sandwich, walked to our departure gate and stood on the bus to the plane. The whole experience was extremely stressful; and took the best part of 2 hours. We did not have time to sit down until we did so on the plane. And completely unnecessary! If we had been able to check in online, this would not have happened. My husband’s vaccination pass is fine, but not required for Madeira. I think it is a systems failure as he received an email yesterday morning saying his pass was not in order, as did I, even though I’d previously been told, I could check in online. Also unnecessary as if BA had staffed the desks properly the queue would have moved. A staff member told us BA had laid off lots of staff during lock down and was now begging them to return, but having been treated badly, they didn’t want to. The flight itself was fine, on time. We were given a bag of crisps and a bottle of water, again fine, nothing praise worthy.",1,2022-03-29,United Kingdom,True,flew funchal madeira yesterday madeira covid restriction entry yet ba asked u upload nh vaccination pass could check online received ok hour later husband check online arrive heathrow hour departure stood long queue check desk open queue approx traveller several people went break disappeared one desk open queue barely moving went complain various ba staff said manager told people coming one blonde lady walked around age shepherding traveller queue sitting desk another man later likewise making u wonder simply worked desk beginning stood queue good hour almost running security queue thankfully moved quickly hurriedly bought sandwich walked departure gate stood bus plane whole experience extremely stressful took best part hour time sit plane completely unnecessary able check online would happened husband vaccination pas fine required madeira think system failure received email yesterday morning saying pas order even though previously told could check online also unnecessary ba staffed desk properly queue would moved staff member told u ba laid lot staff lock begging return treated badly want flight fine time given bag crisp bottle water fine nothing praise worthy
217,"✅ Trip Verified |  Absolutely bad experience with "" British Airways."" I have two bookings with them for the past two years. both were cancelled. The first one, I understand, "" Covid-19"" unexpected. But today I got another surprise. My flight to Antalya in May 2022 was cancelled and no explanation is given. I will definitely not book ever again with them.",1,2022-03-29,United Kingdom,True,absolutely bad experience british airway two booking past two year cancelled first one understand covid unexpected today got another surprise flight antalya may cancelled explanation given definitely book ever
218,"Not Verified |  Flew BA LHR-AUS on a 787-9 on the outbound leg and then back on the A350-1000 on the return leg. Seats comfortable. Staff service on the inbound leg was disappointing. Safety briefing was missed on LHR-AUS route. LHR-AUS boarding on time, flight flew out on time, landed on time. AUS-LHR boarding one hour late, left an hour late and landed one hour late too. Food quality on both legs was not fit for human consumption. Wife ordered a veg meal which was served cold on both legs. In flight entertainment on outbound leg was bad - 2/3 screens not working. On return leg worked fine, but this is due to the A350-1000 being brand new. Good quality of sleep on both legs, which was good. Check in at LHR was flawless and without incident. Check in at AUS was rotten. We queued and were number 4 in line and waited for 1 hour for staff to check us in. What was clear is staff quality in Austin is poor, passengers did not appear to have passenger locator form(s) ready / VeriFly app ready and / or vaccine detail ready. Having looked at business and premium economy class on both legs, paying business class and premium economy did not appear worth it. Baggage was received fine at AUS and LHR - the latter took ages on return. If I had the option of another airline - I would not fly BA.",3,2022-03-27,United Kingdom,False,verified flew ba lhr au outbound leg back return leg seat comfortable staff service inbound leg disappointing safety briefing missed lhr au route lhr au boarding time flight flew time landed time au lhr boarding one hour late left hour late landed one hour late food quality leg fit human consumption wife ordered veg meal served cold leg flight entertainment outbound leg bad screen working return leg worked fine due brand new good quality sleep leg good check lhr flawless without incident check au rotten queued number line waited hour staff check u clear staff quality austin poor passenger appear passenger locator form ready verifly app ready vaccine detail ready looked business premium economy class leg paying business class premium economy appear worth baggage received fine au lhr latter took age return option another airline would fly ba
219,Not Verified |  The food was awful. An over night early morning flight started with the offer of a terrible chicken wrap thing. Terrible. Then went to a Traditional Breakfast with disgusting sausage and inedible hash brown's. Such rubbish on BA.,4,2022-03-25,United Kingdom,False,verified food awful night early morning flight started offer terrible chicken wrap thing terrible went traditional breakfast disgusting sausage inedible hash brown rubbish ba
220,"✅ Trip Verified | I really can’t believe they have the audacity to call this First Class. The check in staff at Singapore were abrupt and unhelpful. The official BA lounge in Singapore was closed, so they’re using a cheap generic alternative, which anyone can pay twenty pounds to go in. Suffice to say it was not pleasant. Onboard was like being in the middle of a bad comedy sketch. I can not believe the two stewardess have ever had any first class training. I had to ask for slippers. The first drink took nearly an hour to arrive, despite only having 8 passengers to serve between the two of them. The poor woman sat next to me ordered a wine, which came filled to the brim. I mean it’s First Class, not a student house party. Neither had any knowledge of the wines on the menu. Most of the food was awful. My steak was dry, over cooked and tough, and whichever catering manger signed off on a canapé of soggy mushroom on top of a chunk of polenta should be sacked immediately. I will say, the cheese and port were nice. However the worst thing was the constant galley noise. There was a cart stowage immediately in front of my seat (1K) which they were in and out of all night, and appeared incapable of shutting without slamming. They also seemed to have stored their personal belongings in to the bin immediately above my seat, so we’re in and out of that as well. I will say the seat itself is very well designed, but personally I’m happy in Club and would never do First again.",1,2022-03-19,United Kingdom,True,really believe audacity call first class check staff singapore abrupt unhelpful official ba lounge singapore closed using cheap generic alternative anyone pay twenty pound go suffice say pleasant onboard like middle bad comedy sketch believe two stewardess ever first class training ask slipper first drink took nearly hour arrive despite passenger serve two poor woman sat next ordered wine came filled brim mean first class student house party neither knowledge wine menu food awful steak dry cooked tough whichever catering manger signed canap soggy mushroom top chunk polenta sacked immediately say cheese port nice however worst thing constant galley noise cart stowage immediately front seat k night appeared incapable shutting without slamming also seemed stored personal belonging bin immediately seat well say seat well designed personally happy club would never first
221,"✅ Trip Verified |  London to Dubai. Family of 6 kids where from 10 down to 6 years old, savvy travelers, been on many holidays so we were excited to be on BA for first time. But disappointment became desperation as we had not eaten anything since Dublin that morning at 7am. We had no time to eat at LHR so thought we'll get something usually around 1 hour into the flight. 3.5 hours after take off they served out food. Food was fine but nothing special, no issues with beverage, no attention to kids as you'd expect from many other airlines, even a kids book would be good. Movies are all outdated and already watched. So overall very medium experience.",2,2022-03-18,United Kingdom,True,london dubai family kid year old savvy traveler many holiday excited ba first time disappointment became desperation eaten anything since dublin morning time eat lhr thought get something usually around hour flight hour take served food food fine nothing special issue beverage attention kid expect many airline even kid book would good movie outdated already watched overall medium experience
222,"✅ Trip Verified | One would think that the number of crises BA incurs they would have had emergency planning down to a fine art. I last flew with BA May 2017 - yes, the weekend of the last but one IT crisis. I swore never again but ended up purchasing a ticket Aug 2018 to Bologna - BA cancelled the flight. Then covid hit so ended up with a voucher. Fast forward to Feb 26th, 2022. Received a message 5.30am 30mins from LHR that that my flight was cancelled. Arrived at the airport with everyone else just wandering and seeking answers. The staff that were there either told you to go online - a bit difficult as the BA systems were down or ring BA. Ha Ha or go home - not very helpful if you live two hours from LHR. By some miracle the app sprung into life, and I managed to get one of the last 10 seats on the evening flight. Sat in arrivals as there was a coffee shop - soon ran out of seats. By 12.00 midday most of us were trying to get airside to use lounges but no one was allowed in departures until two hours prior to your flight supposedly because of crowds. Pointed out BA should have provided refreshments - told to put a claim in. Eventually got to departures and made it through security. BA customer services (note the oxymoron) - had a consistent queue of about 20 people as BA were still cancelling/rearranging flights for passengers who were airside. Boarded flight 45mins late. Sat on tarmac as the pilot told us the delay was them trying to 'reconcile' luggage. When we took off given one very small bottle of water and a cereal bar for a five-hour flight They purport to be a top-class airline but in fact Ryanair has more finesse. The staff are fine but can be miserable because they are treated so badly and like to remind you that they are doing their best in a difficult situation - well so are the passengers. The aircraft are cramped and worn. I had been reluctant to use Egyptair but flew home with them on a new aircraft with a very good entertainment system and was provided with a hot meal and snack for same price as a BA ticket. How on earth can BA justify their prices? The management should be sacked as ultimately they are to blame for the ruination of this airline.",4,2022-03-17,United Kingdom,True,one would think number crisis ba incurs would emergency planning fine art last flew ba may yes weekend last one crisis swore never ended purchasing ticket aug bologna ba cancelled flight covid hit ended voucher fast forward feb th received message min lhr flight cancelled arrived airport everyone else wandering seeking answer staff either told go online bit difficult ba system ring ba ha ha go home helpful live two hour lhr miracle app sprung life managed get one last seat evening flight sat arrival coffee shop soon ran seat midday u trying get airside use lounge one allowed departure two hour prior flight supposedly crowd pointed ba provided refreshment told put claim eventually got departure made security ba customer service note oxymoron consistent queue people ba still cancelling rearranging flight passenger airside boarded flight min late sat tarmac pilot told u delay trying reconcile luggage took given one small bottle water cereal bar five hour flight purport top class airline fact ryanair finesse staff fine miserable treated badly like remind best difficult situation well passenger aircraft cramped worn reluctant use egyptair flew home new aircraft good entertainment system provided hot meal snack price ba ticket earth ba justify price management sacked ultimately blame ruination airline
223,"Not Verified |  We will never use BA again for a long haul flight. Our experience of the flight from LHR-MLE wasn’t too bad, apart from a screaming child but the return wasn’t a good experience. We weren’t provided with a drink when we boarded as we were forgotten and that happened a few more times during the flight. I think the crew in Premium Economy were very young and not very experienced, leaving the experienced ones in Business/First. Actually, I think BA only care about the Business/First customers now with the cabins getting larger for those classes. They ran out of food choice 8 rows back in our cabin (it’s not a large cabin), ran out of wine straight after the food service and we had no food for 7hrs apart from a couple of biscuits, one of those we had to go and get from the kitchen. We weren’t fed until 1.5hrs before we landed (it was a 11.5hr flight) and then it was a soggy roll containing 2 slices or cucumber and 2 slices of tomato! BA just don’t care anymore about the little people.",3,2022-03-16,United Kingdom,False,verified never use ba long haul flight experience flight lhr mle bad apart screaming child return good experience provided drink boarded forgotten happened time flight think crew premium economy young experienced leaving experienced one business first actually think ba care business first customer cabin getting larger class ran food choice row back cabin large cabin ran wine straight food service food hr apart couple biscuit one go get kitchen fed hr landed hr flight soggy roll containing slice cucumber slice tomato ba care anymore little people
224,"✅ Trip Verified |  British Airways is getting worse an worse, my flight was 8 mins late. Luggage is taking hours to arrive.  No communication whatsoever from anyone. They can't be reached on the phone and answer with delays to emails, if they do. My app is crashing most of the times. They change the aircraft without notice, so even if you pay for a seat, the staff will say there is nothing they can do.",3,2022-03-11,United Kingdom,True,british airway getting worse worse flight min late luggage taking hour arrive communication whatsoever anyone reached phone answer delay email app crashing time change aircraft without notice even pay seat staff say nothing
225,✅ Trip Verified | Paid for 3 business class seats to London from New York. Got downgraded at airport check in because they overbooked business class. Couldn’t even provide compensation or a refund. Told I had to call customer service or submit a form. Unbelievable. Unacceptable. Never again. ,1,2022-03-11,United States,True,paid business class seat london new york got downgraded airport check overbooked business class even provide compensation refund told call customer service submit form unbelievable unacceptable never
226,"✅ Trip Verified |  Absolutely shambolic customer service. The lounges at Heathrow are outdated and the service was terrible, waited over an hour for my chosen food/drink order to be brought to me. Ended up getting it myself and told off for doing so. On board product is average. ",4,2022-03-06,United Kingdom,True,absolutely shambolic customer service lounge heathrow outdated service terrible waited hour chosen food drink order brought ended getting told board product average
227,"✅ Trip Verified |  Our flight back to Athens (on a different airline) was very delayed, causing us to miss our first flight home. I understand that they were not required to help due to the delayed flight being a different airline. What's worse is that they went ahead and canceled our tickets for our connecting flight, which we would have been able to make based on another flight out we found, causing us to have to buy much more expensive tickets home that resulted in us having an overnight layover and having to buy a hotel room on top of ridiculously expensive last minute tickets. The absolute worst customer service I have ever dealt with, and I will never be flying with them again.",1,2022-03-06,United States,True,flight back athens different airline delayed causing u miss first flight home understand required help due delayed flight different airline worse went ahead canceled ticket connecting flight would able make based another flight found causing u buy much expensive ticket home resulted u overnight layover buy hotel room top ridiculously expensive last minute ticket absolute worst customer service ever dealt never flying
228,"✅ Trip Verified |  Flight took off two hours late after what can only be described as a shambles at the airport. No airbridge to the aircraft which is not acceptable. The aircraft was better than the outbound flight, who screen was so small. After serving only about 2/3rd of the cabin, no first choice. Only a vegetarian dish or a chicken dish from the economy cabin. The airline must know that vegetarians will order a meal, so why include it as a choice. Also, to offer a roll of ham/cheese for breakfast after a 12 hour flight is cost saving. A hot breakfast should be offered. With only 90 minutes between my connecting flight, due to late arrival, I made staff aware. Whilst they let me and others passengers of the flight first, there was no staff to assist in getting us to our flight. It was a struggle to get my connecting flight. On arriving in Glasgow, got txt to say my bags did not make the flight. First time using BA premium and likely my last.",1,2022-03-05,United Kingdom,True,flight took two hour late described shamble airport airbridge aircraft acceptable aircraft better outbound flight screen small serving rd cabin first choice vegetarian dish chicken dish economy cabin airline must know vegetarian order meal include choice also offer roll ham cheese breakfast hour flight cost saving hot breakfast offered minute connecting flight due late arrival made staff aware whilst let others passenger flight first staff assist getting u flight struggle get connecting flight arriving glasgow got txt say bag make flight first time using ba premium likely last
